TCDEL	TCCNTR	TCCNTA	TCCNSM	TCDESC	TCDESS	TCDESL	TCFIL2	TCCNTY	TCFRTB	TCFIL3	TCDES2	TCFIL4	TCCTRS	TCIUM	TPFIL5
 	477	477	DRUM  	55 GAL  55 GAL DRUMS RESALE   	55 GAL  	55 GAL DRUMS RESALE   	                                                                                                          	P	  	                            	ARGUARD                       	                	 	DRM	                                                                                                                                                                                                                                                            
 	493	493	QUTLIT	12/1 QTS12/1 QUARTS RESALE    	12/1 QTS	12/1 QUARTS RESALE    	                                                                                                          	P	  	                            	ARGUARD                       	                	 	CAS	                                                                                                                                                                                                                                                            
 	428	428	QUTLIT	12/1 QT 12/1 QT SPOUTED FTYPE 	12/1 QT 	12/1 QT SPOUTED FTYPE 	                                                                                                          	P	  	                            	DRIVEN                        	                	P	CAS	                                                                                                                                                                                                                                                            
 	500	500	BULK  	BULK    BULK RESALE           	BULK    	BULK RESALE           	                                                                                                          	B	  	                            	ARGUARD                       	                	 	GAL	                                                                                                                                                                                                                                                            
 	494	494	QUTLIT	12/1    12/1 QTW/SPOUT RESALE 	12/1    	12/1 QTW/SPOUT RESALE 	                                                                                                          	P	  	                            	ARGUARD                       	                	P	CAS	                                                                                                                                                                                                                                                            
 	495	495	DRUM  	400#    400# DRUM GEN RESALE  	400#    	400# DRUM GEN RESALE  	                                                                                                          	P	  	                            	ARGUARD                       	                	 	DRM	                                                                                                                                                                                                                                                            
 	757	757	PAIL  	20L/5 GAPAIL 5 GAL FILL USA   	20L/5 GA	PAIL 5 GAL FILL USA   	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	PAL	                                                                                                                                                                                                                                                            
 	758	758	PAIL  	20L/5 GAPAIL 5 GAL FILL CANADA	20L/5 GA	PAIL 5 GAL FILL CANADA	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	PAL	                                                                                                                                                                                                                                                            
 	334	334	TOTE  	330 PROD330 TOT FOR PRODUCTION	330 PROD	330 TOT FOR PRODUCTION	                                                                                                          	P	  	                            	ARGUARD                       	                	P	TOT	                                                                                                                                                                                                                                                            
 	478	478	DRUM  	400# DRM400#GENERIC BLK TH DRM	400# DRM	400#GENERIC BLK TH DRM	                                                                                                          	P	  	                            	ARGUARD                       	                	 	DRM	                                                                                                                                                                                                                                                            
 	469	469	PAIL  	35# PAIL35# GENERIC BLK PAIL  	35# PAIL	35# GENERIC BLK PAIL  	                                                                                                          	P	  	                            	ARGUARD                       	                	 	PAL	                                                                                                                                                                                                                                                            
 	746	746	TOTE  	260 GAL 275G TOTE FILLEDTO260 	260 GAL 	275G TOTE FILLEDTO260 	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	TOT	                                                                                                                                                                                                                                                            
 	742	742	GALLON	4/1 GAL 4/1 GALLON            	4/1 GAL 	4/1 GALLON            	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	CAS	                                                                                                                                                                                                                                                            
 	771	771	DRUM  	55 GAL  55 GALLON DRUM RESALE 	55 GAL  	55 GALLON DRUM RESALE 	                                                                                                          	P	  	                            	DECKMAN OIL                   	                	P	DRM	                                                                                                                                                                                                                                                            
 	772	772	PAIL  	5 GAL   5 GALLON PAIL RESALE  	5 GAL   	5 GALLON PAIL RESALE  	                                                                                                          	P	  	                            	DECKMAN OIL                   	                	P	PAL	                                                                                                                                                                                                                                                            
 	773	773	GALLON	4/1 GAL 4/1 GALLON CAS RESALE 	4/1 GAL 	4/1 GALLON CAS RESALE 	                                                                                                          	P	  	                            	DECKMAN OIL                   	                	P	CSG	                                                                                                                                                                                                                                                            
 	774	774	QUTLIT	12/1 QT 12/1 QUART CAS RESALE 	12/1 QT 	12/1 QUART CAS RESALE 	                                                                                                          	P	  	                            	DECKMAN OIL                   	                	P	CSQ	                                                                                                                                                                                                                                                            
 	337	337	TOTE  	275 GAL 275(260) TOT FOR PROD 	275 GAL 	275(260) TOT FOR PROD 	                                                                                                          	P	  	                            	ARGUARD                       	                	P	TOT	                                                                                                                                                                                                                                                            
 	465	465	QUTLIT	12/1 QT 12/1 QT SPOUTED       	12/1 QT 	12/1 QT SPOUTED       	                                                                                                          	P	  	                            	ARGUARD                       	                	P	CAS	                                                                                                                                                                                                                                                            
 	474	474	DRUM  	120#    120# KEG              	120#    	120# KEG              	                                                                                                          	P	  	                            	ARGUARD                       	                	 	KEG	                                                                                                                                                                                                                                                            
 	759	759	PAIL  	20L PAIL20L(5GA) BLK PAIL&LID 	20L PAIL	20L(5GA) BLK PAIL&LID 	                                                                                                          	P	  	                            	MAVERICK PERFORMANCE PRODUCTS 	                	P	PAL	                                                                                                                                                                                                                                                            
