TPDEL	TPFIL1	TPCONO	TPPROD	TPDESC	TPSTCC	TPIND8	TPFIL2	TPPLGR	TPPLCL	TPPLGH	TPPLCH	TPPRGP	TPTOCO	TPCOL	TPICOL	TPSHDS	TPPRCL	TPFIL3	TPSMSG	TPGRAV	TPINGP	TPSGLN	TPABDS	TPSELL	TPFIL4	TPALTD	TPTISQ	TPFIL5	TPVCFC	TPFLCD	TPRPSL	TPDTTM	TPSPRT	TPIRSC	TPOWNB	TPFIL7
 	      	10	F140	WESTERN RESERVE SNOWPLOW OIL  	        	0	 	0	0	               	          	KA	0	0	0	S.A.M.LOW-TEMP HYDR FLUID CART	A01	 	 	0.0	Z1	11334009	WR SNPLW  	Y	  	                    	0	                                                                  	  	N	 	20131219115739	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F141	WESTERN RESERVE SNOWPLOW OIL  	        	0	 	0	0	               	          	KA	0	0	0	SNOWDOGG LOWTEMP HYDR FLD CART	A01	 	 	0.0	Z1	11334281	WR SNPLW  	Y	  	                    	0	                                                                  	  	N	 	20131219115927	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F805	RISLONE 100QR KRAFT US RSC    	        	0	 	0	0	               	          	KA	0	0	0	RISLONE 100QR KRAFT US RSC    	A01	 	 	0.0	Z1	11334014	RISLONERSC	Y	  	                    	0	                                                                  	  	N	 	20131219120057	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F806	RISLONE 100QR KRAFT CANADA RSC	        	0	 	0	0	               	          	KA	0	0	0	RISLONE 100QR KRAFT CANADA RSC	A01	 	 	0.0	Z1	11334283	RISLCANRSC	Y	  	                    	0	                                                                  	  	N	 	20131219120232	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F809	RISLONE 100QR KRAFT RSC AUSTRL	        	0	 	0	0	               	          	KA	0	0	0	RISLONE 100QR KRAFT RSC AUSTRL	A01	 	 	0.0	Z1	11334282	RISAUSTRSC	Y	  	                    	0	                                                                  	  	N	 	20131219120417	   	   	 	                                                                                                                                                                                                                                              
 	      	10	170V	AKCELA CASE ULTRACTION SSL    	        	20230331	 	0	0	               	          	K4	0	0	0	                              	V11	 	 	0.1	L1	13000000	AKCELA SSL	Y	  	                    	0	                                                                  	  	Y	 	20140114133159	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7377	ARGUARD PREM HIVI HF ISO 32   	        	0	 	0	0	               	          	K4	0	0	0	PETROLEUM LUBRICATING OIL     	H44	 	 	35.0	L1	13137377	HIVI HF 32	Y	  	                    	0	                                                                  	LU	Y	 	20140121153855	   	   	 	                                                                                                                                                                                                                                              
 	      	10	9300	RAFFINATE INTERFACE           	        	0	 	0	0	               	          	KA	0	0	0	RAFFINATE INTERFACE           	X10	 	 	29.0	I1	0	RAFIN INTE	N	  	                    	0	                                                                  	LU	Y	 	20140131093816	   	   	 	                                                                                                                                                                                                                                              
 	      	10	F807	RISLONE 100QR KRFT SPANISH RSC	        	0	 	0	0	               	          	KA	0	0	0	RISLONE 100QR KRFT SPANISH RSC	A01	 	 	0.0	Z1	11334018	RIS 100QR 	Y	  	                    	0	                                                                  	  	N	 	20140214144941	   	   	 	                                                                                                                                                                                                                                              
 	      	10	171V	CASE NEXPLORE                 	        	20230331	 	0	0	               	          	K4	0	0	0	                              	V11	 	 	0.1	L1	13000000	CASE      	Y	  	                    	0	                                                                  	  	Y	 	20140219111341	   	   	 	                                                                                                                                                                                                                                              
