CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
 	10	4580	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4580	646	GAL	M	54.0000000	N	DRM	0	                          
I	10	4581	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4582	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4583	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4585	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4585	646	GAL	M	50.0000000	N	DRM	0	                          
I	10	4585	648	LBS	M	354.0000000	N	DRM	0	                          
 	10	4586	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4586	628	GAL	M	55.0000000	N	DRM	0	                          
 	10	4586	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4587	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	4588	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	4589	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4590	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4590	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4590	645	LI 	M	197.0000000	N	DRM	0	                          
 	10	4590	646	GAL	M	52.0000000	N	DRM	0	                          
I	10	4591	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4591	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4591	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4595	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4595	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4608	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4608	646	GAL	M	52.0000000	N	DRM	0	                          
D	10	4610	001	GAL	M	1.0000000	Y	GAL	0	                          
D	10	4611	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	4612	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4612	646	GAL	M	50.0000000	N	DRM	0	                          
I	10	4617	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4618	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4618	004	GAL	M	220.0000000	N	TOT	0	                          
 	10	4618	646	GAL	M	51.0000000	N	DRM	0	                          
 	10	4618	646	LBS	M	397.0000000	N	DRM	0	                          
 	10	4670	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	4670	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	4670	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	4670	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	4670	052	GAL	M	1.0000000	N	GAL	0	                          
