WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
I	10	7193	100	32.00	2.90	29.10	4.0000000	                        
I	10	7193	101	32.00	2.50	29.50	4.0000000	                        
I	10	7193	354	24.50	2.80	21.70	3.0000000	                        
I	10	7193	432	32.00	2.50	29.50	4.0000000	                        
I	10	7193	448	41.50	2.50	39.00	5.0000000	                        
I	10	7193	501	39.50	2.50	37.00	5.0000000	                        
 	10	7193	502	39.50	2.50	37.00	5.0000000	                        
I	10	7193	601	442.00	35.00	407.00	55.0000000	                        
I	10	7193	603	436.10	35.00	401.10	55.0000000	                        
 	10	7193	982	442.00	35.00	407.00	55.0000000	                        
 	10	7194	009	24.95	2.50	22.45	3.0000000	                        
 	10	7194	100	32.93	3.00	29.93	4.0000000	                        
 	10	7194	354	24.29	0.00	24.29	3.0000000	                        
 	10	7194	432	32.00	2.90	29.10	4.0000000	                        
 	10	7194	448	41.50	2.50	39.00	5.0000000	                        
 	10	7194	501	41.50	2.50	39.00	5.0000000	                        
 	10	7194	502	39.00	2.50	36.50	5.0000000	                        
 	10	7194	601	442.00	35.00	407.00	55.0000000	                        
 	10	7194	603	436.10	0.35	435.75	55.0000000	                        
 	10	7194	605	442.00	35.00	407.00	55.0000000	                        
 	10	7194	606	436.10	35.00	401.10	55.0000000	                        
 	10	7194	982	442.00	35.00	407.00	55.0000000	                        
I	10	7195	009	24.29	0.00	24.29	3.0000000	                        
I	10	7195	501	39.00	2.50	36.50	5.0000000	                        
I	10	7195	601	436.10	35.00	401.10	55.0000000	                        
I	10	7195	603	436.10	35.00	401.10	55.0000000	                        
I	10	7196	101	32.33	3.00	29.33	4.0000000	                        
I	10	7196	432	32.33	3.00	29.33	4.0000000	                        
I	10	7196	448	39.67	3.00	36.67	5.0000000	                        
I	10	7196	501	41.50	2.50	39.00	5.0000000	                        
I	10	7196	502	39.00	2.50	36.50	5.0000000	                        
I	10	7196	601	442.00	35.00	407.00	55.0000000	                        
I	10	7196	603	436.10	35.00	401.10	55.0000000	                        
I	10	7196	782	436.10	35.00	401.10	5.0000000	                        
I	10	7196	982	442.00	37.00	405.00	55.0000000	                        
 	10	7197	354	24.29	2.50	21.79	3.0000000	                        
I	10	7197	432	32.00	2.90	29.10	4.0000000	                        
