RKDEL	RKCONO	RKLOC	RKPROD	RKCNTR	RKUNMS	RKDATE	RKTIME	RKF002	RKPRCE	RKF003	RKPR02	RKF004	RKPR03	RKF005	RKPR04	RKF006	RKPR05	RKMINQ	RKQT01	RKQT02	RKQT03	RKQT04	RKQT05	RKRKRQ	RKINAC	RKF001
 	10	001	181V	890	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	181V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	181V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	181V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	890	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	182V	894	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	183V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	183V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	183V	895	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	890	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	184V	895	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	890	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	185V	895	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	186V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	186V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	187V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	187V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	188V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	188V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	188V	892	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	189V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	189V	891	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	190V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	190V	896	OZ 	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	191V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	191V	896	OZ 	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	192V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	192V	896	OZ 	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	193V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	193V	896	OZ 	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	194V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	194V	897	OZ 	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	195V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	195V	898	LBS	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	196V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	196V	893	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	197V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	197V	899	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	198V	001	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	198V	899	GAL	20230330	1	 	0.0000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	0	0	0	0	0	 	I	                          
 	10	001	4102	001	GAL	20230811	1	 	8.3500	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4102	001	GAL	20231006	1	 	8.6100	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4104	001	GAL	20230811	1	 	8.3300	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4104	001	GAL	20231006	1	 	8.5900	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4107	001	GAL	20230811	1	 	8.4100	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4107	001	GAL	20231006	1	 	8.6700	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4107	001	LBS	20230811	1	 	1.3634	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4107	001	LBS	20231006	1	 	1.4049	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4109	001	GAL	20230811	1	 	8.1700	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4109	001	GAL	20231006	1	 	8.4300	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	GAL	20230811	1	 	8.2500	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	GAL	20231006	1	 	8.5100	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	KG 	20230811	1	 	2.8238	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	KG 	20231006	1	 	2.9128	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	LBS	20230811	1	 	1.2809	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	001	LBS	20231006	1	 	1.3212	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4111	646	GAL	20230811	1	 	9.8100	 	9.6600	 	9.4900	 	9.2500	 	0.0000	4	12	24	36	9999999	0	 	 	                          
 	10	001	4111	646	GAL	20231006	1	 	10.0700	 	9.9200	 	9.7500	 	9.5100	 	0.0000	4	12	24	36	9999999	0	 	 	                          
 	10	001	4112	001	GAL	20230103	1800	 	4.7800	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230104	1800	 	4.5850	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230105	1300	 	4.5850	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230105	1800	 	4.4850	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230106	1800	 	4.4850	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230109	1800	 	4.4450	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230110	1800	 	4.4800	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230111	1800	 	4.5600	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230112	1800	 	4.5200	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230113	1800	 	4.5200	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230116	1800	 	4.5200	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230117	1800	 	4.5450	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230118	1800	 	4.5550	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230119	1800	 	4.7000	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
 	10	001	4112	001	GAL	20230120	1800	 	4.7700	 	0.0000	 	0.0000	 	0.0000	 	0.0000	0	9999999	0	0	0	0	 	 	                          
